Fund,Rating,Category,Return 1-Year,Return 3-Year,Return 5-Year,Return 10-Year,Return 15-Year,Return 20-Year
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme,2,DT-INC    ,1.76,6.83,7.85,7.94,,
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Direct Plan,3,DT-INC    ,2.27,7.37,,,,
Aditya Birla Sun Life Advantage Fund,5,EQ-MLC    ,31.67,22.29,24.79,18.5,17.69,18.67
Aditya Birla Sun Life Advantage Fund - Direct Plan,5,EQ-MLC    ,33.37,23.75,,,,
Aditya Birla Sun Life Balanced '95 Fund,4,HY-EQ     ,20.62,15.97,18.14,16.32,17.33,19.02
Aditya Birla Sun Life Balanced '95 Fund - Direct Plan,4,HY-EQ     ,22.19,17.38,,,,
Aditya Birla Sun Life Balanced Advantage Fund,3,HY-AA     ,10.91,14.13,14.37,12.09,12.39,
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,4,HY-AA     ,12.3,15.11,,,,
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,5,EQ-BANK   ,30.83,27.41,,,,
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,5,EQ-BANK   ,29.04,26.14,,,,
Aditya Birla Sun Life Cash Manager,2,DT-UST    ,5.89,7.21,7.76,7.93,7.62,
Aditya Birla Sun Life Cash Manager - Direct Plan,4,DT-UST    ,6.8,8.11,,,,
Aditya Birla Sun Life Cash Plus,3,DT-LIQ    ,6.6,7.15,7.74,8.1,,
Aditya Birla Sun Life Cash Plus - Direct Plan,4,DT-LIQ    ,6.69,7.24,,,,
Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Direct Plan,2,GL-MLT    ,-1.23,5.79,,,,
Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Regular Plan,2,GL-MLT    ,-1.36,5.71,6.95,6.67,6.84,
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,4,DT-CO     ,7.99,,,,,
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan,3,DT-CO     ,6.71,,,,,
Aditya Birla Sun Life Dividend Yield Plus Fund,1,EQ-MC     ,22.85,15.72,16.74,15.4,,
Aditya Birla Sun Life Dividend Yield Plus Fund - Direct Plan,1,EQ-MC     ,23.84,16.63,,,,
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,3,DT-DB     ,1.83,7.2,,,,
Aditya Birla Sun Life Dynamic Bond Fund - Retail Plan,2,DT-DB     ,1.28,6.53,8.39,8.94,,
Aditya Birla Sun Life Enhanced Arbitrage Fund,1,HY-AR     ,5.74,6.08,6.72,,,
Aditya Birla Sun Life Enhanced Arbitrage Fund - Direct Plan,3,HY-AR     ,6.42,6.75,,,,
Aditya Birla Sun Life Equity Fund,4,EQ-MLC    ,24.97,21.1,23.23,18.1,19.81,
Aditya Birla Sun Life Equity Fund - Direct Plan,5,EQ-MLC    ,26.5,22.34,,,,
Aditya Birla Sun Life Floating Rate Fund - Long Term Plan,2,DT-UST    ,6.42,7.98,8.51,,,
Aditya Birla Sun Life Floating Rate Fund - Long Term Plan - Direct Plan,3,DT-UST    ,6.71,8.25,,,,
Aditya Birla Sun Life Floating Rate Fund - Short Term Plan,4,DT-LIQ    ,6.66,7.2,7.77,8.14,,
Aditya Birla Sun Life Floating Rate Fund - Short Term Plan - Direct Plan,5,DT-LIQ    ,6.77,7.29,,,,
Aditya Birla Sun Life Frontline Equity Fund,4,EQ-LC     ,22.76,16.45,17.97,16.49,18.77,
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,5,EQ-LC     ,24.16,17.64,,,,
Aditya Birla Sun Life Gilt Plus - PF Plan,4,GL-MLT    ,2.1,8.39,9.86,9.26,8.1,
Aditya Birla Sun Life Gilt Plus - PF Plan - Direct Plan,5,GL-MLT    ,2.62,8.94,,,,
Aditya Birla Sun Life Income Plus,1,DT-INC    ,1.81,6.58,7.83,8.05,8.03,8.35
Aditya Birla Sun Life Income Plus - Direct Plan,2,DT-INC    ,2.49,7.43,,,,
Aditya Birla Sun Life Index Fund,2,EQ-LC     ,21.68,13.51,12.97,11.19,12.67,
Aditya Birla Sun Life Index Fund - Direct Plan,2,EQ-LC     ,21.91,13.77,,,,
Aditya Birla Sun Life India Reforms Fund,2,EQ-MLC    ,33.15,22.42,22.24,,,
Aditya Birla Sun Life India Reforms Fund - Direct Plan,3,EQ-MLC    ,34.6,23.5,,,,
Aditya Birla Sun Life Infrastructure Fund,4,EQ-INFRA  ,41.13,24.41,24.4,16.39,,
Aditya Birla Sun Life Infrastructure Fund - Direct Plan,4,EQ-INFRA  ,42.45,,,,,
Aditya Birla Sun Life International Equity Fund - Plan B,2,EQ-MLC    ,21.8,15.16,14.64,11.93,,
Aditya Birla Sun Life International Equity Fund - Plan B - Direct Plan,3,EQ-MLC    ,22.48,15.76,,,,
Aditya Birla Sun Life Medium Term Plan,2,DT-CO     ,6.24,8.5,9.37,,,
Aditya Birla Sun Life Medium Term Plan - Direct Plan,3,DT-CO     ,7.08,9.29,,,,
Aditya Birla Sun Life Mid Cap Fund,3,EQ-MC     ,35.34,23.72,26.8,20.54,21.52,
Aditya Birla Sun Life Mid Cap Fund - Direct Plan,3,EQ-MC     ,36.63,24.8,,,,
Aditya Birla Sun Life MIP,2,HY-DC     ,3.21,7.13,8.31,8.54,8.44,
Aditya Birla Sun Life MIP - Direct Plan,3,HY-DC     ,4.34,8.01,,,,
Aditya Birla Sun Life MIP II Savings 5 Plan,3,HY-DC     ,5.73,8.32,9.7,9.7,,
Aditya Birla Sun Life MIP II Savings 5 Plan - Direct Plan,3,HY-DC     ,6.82,9.06,,,,
Aditya Birla Sun Life Monthly Income,2,HY-DC     ,7.48,8.53,9.76,9.43,9.37,
Aditya Birla Sun Life Monthly Income - Direct Plan,3,HY-DC     ,8.38,9.37,,,,
Aditya Birla Sun Life Monthly Income Plan II - Wealth 25 Plan,5,HY-DA     ,11.11,12.68,14.03,12.43,,
Aditya Birla Sun Life Monthly Income Plan II - Wealth 25 Plan - Direct Plan,5,HY-DA     ,12.55,14.02,,,,
Aditya Birla Sun Life Nifty ETF Fund,3,EQ-LC     ,23.14,14.9,14.24,,,
Aditya Birla Sun Life Pure Value Fund,4,EQ-MC     ,48.98,30.03,32.36,,,
Aditya Birla Sun Life Pure Value Fund - Direct Plan,4,EQ-MC     ,50.82,31.37,,,,
Aditya Birla Sun Life Savings Fund,3,DT-UST    ,6.73,8.01,8.53,8.65,,
Aditya Birla Sun Life Savings Fund - Direct Plan,3,DT-UST    ,6.88,8.15,,,,
Aditya Birla Sun Life Short Term Fund,3,DT-ST     ,5.81,7.97,8.69,8.72,8.48,8.7
Aditya Birla Sun Life Short Term Fund - Direct Plan,3,DT-ST     ,5.95,8.1,,,,
Aditya Birla Sun Life Short Term Opportunities Fund,1,DT-ST     ,5.25,7.77,8.69,9.14,,
Aditya Birla Sun Life Short Term Opportunities Fund - Direct Plan,3,DT-ST     ,6.0,8.5,,,,
Aditya Birla Sun Life Small & Midcap Fund,2,EQ-SC     ,47.93,31.86,32.31,23.5,,
Aditya Birla Sun Life Small & Midcap Fund - Direct Plan,3,EQ-SC     ,49.75,33.15,,,,
Aditya Birla Sun Life Special Situations Fund,4,EQ-MLC    ,31.78,21.53,23.8,,,
Aditya Birla Sun Life Special Situations Fund - Direct Plan,4,EQ-MLC    ,32.67,22.28,,,,
Aditya Birla Sun Life Tax Plan,4,EQ-TS     ,40.82,22.09,23.59,18.43,18.57,
Aditya Birla Sun Life Tax Plan - Direct Plan,5,EQ-TS     ,42.35,23.38,,,,
Aditya Birla Sun Life Tax Relief 96,5,EQ-TS     ,41.25,22.58,24.32,18.64,18.2,21.6
Aditya Birla Sun Life Tax Relief 96 - Direct Plan,5,EQ-TS     ,42.79,23.73,,,,
Aditya Birla Sun Life Tax Savings Fund,4,EQ-TS     ,41.06,22.46,22.45,17,,
Aditya Birla Sun Life Tax Savings Fund - Direct Plan,4,EQ-TS     ,41.18,22.53,,,,
Aditya Birla Sun Life Top 100 Fund,4,EQ-LC     ,23.46,16.77,18.46,16.51,,
Aditya Birla Sun Life Top 100 Fund - Direct Plan,5,EQ-LC     ,24.99,18.1,,,,
Aditya Birla Sun Life Treasury Optimizer Fund - Direct Plan,4,DT-INC    ,5.44,8.44,,,,
Aditya Birla Sun Life Treasury Optimizer Fund - Regular Plan,4,DT-INC    ,5.12,8.1,9.14,,,
Axis Banking & PSU Debt Fund,2,DT-UST    ,6.75,7.65,8.12,,,
Axis Banking & PSU Debt Fund - Direct Plan,3,DT-UST    ,6.94,7.84,,,,
Axis Constant Maturity 10 Year Fund,2,GL-MLT    ,0.69,6.17,7.42,,,
Axis Constant Maturity 10 Year Fund - Direct Plan,2,GL-MLT    ,1.23,6.72,,,,
Axis Dynamic Bond Fund,2,DT-DB     ,2.29,6.99,8.18,,,
Axis Dynamic Bond Fund - Direct Plan,4,DT-DB     ,3.2,8.02,,,,
Axis Enhanced Arbitrage Fund - Direct Plan,5,HY-AR     ,6.67,7.04,,,,
Axis Enhanced Arbitrage Fund - Regular Plan,2,HY-AR     ,5.8,6.16,,,,
Axis Equity Fund,3,EQ-LC     ,30.48,15.83,15.81,,,
Axis Equity Fund - Direct Plan,4,EQ-LC     ,32.26,17.13,,,,
Axis Fixed Income Opportunities Fund - Direct Plan,3,DT-CO     ,7.21,9.17,,,,
Axis Fixed Income Opportunities Fund - Regular Plan,1,DT-CO     ,5.73,7.78,,,,
Axis Focused 25 Fund,3,EQ-MLC    ,35.37,21.89,20.47,,,
Axis Focused 25 Fund - Direct Plan,4,EQ-MLC    ,36.92,23.32,,,,
Axis Income Saver Fund,2,HY-DA     ,10.8,8.17,9.38,,,
Axis Income Saver Fund - Direct Plan,4,HY-DA     ,12.28,9.69,,,,
Axis Liquid Fund,3,DT-LIQ    ,6.64,7.16,7.71,,,
Axis Liquid Fund - Direct Plan,4,DT-LIQ    ,6.71,7.23,,,,
Axis Long Term Equity Fund,4,EQ-TS     ,31.38,17.15,21.92,,,
Axis Long Term Equity Fund - Direct Plan,5,EQ-TS     ,32.88,18.42,,,,
Axis Midcap Fund,2,EQ-MC     ,37.48,17.91,21.92,,,
Axis Midcap Fund - Direct Plan,2,EQ-MC     ,39.05,19.23,,,,
Axis Regular Savings Fund,4,DT-INC    ,6.76,8.61,9.28,,,
Axis Regular Savings Fund - Direct Plan,5,DT-INC    ,7.46,9.43,,,,
Axis Short Term Fund,2,DT-ST     ,5.14,7.36,8,,,
Axis Short Term Fund - Direct Plan,3,DT-ST     ,5.88,8.14,,,,
Axis Treasury Advantage Fund,2,DT-UST    ,6.17,7.27,7.81,,,
Axis Treasury Advantage Fund - Direct Plan,3,DT-UST    ,6.84,7.8,,,,
Baroda Pioneer Balance Fund,2,HY-EQ     ,24.69,15.99,15.38,12.17,,
Baroda Pioneer Balance Fund - Direct Plan,3,HY-EQ     ,26.47,17.48,,,,
Baroda Pioneer Banking and Financial Services Fund,2,EQ-BANK   ,17.32,15.94,16.44,,,
Baroda Pioneer Banking and Financial Services Fund - Direct Plan,2,EQ-BANK   ,18.24,16.79,,,,
Baroda Pioneer Credit Opportunities Fund- Plan A,4,DT-CO     ,7.2,,,,,
Baroda Pioneer Credit Opportunities Fund- Plan B Direct,5,DT-CO     ,8.5,,,,,
Baroda Pioneer Dynamic Bond Fund,3,DT-DB     ,4.45,7.94,9.06,,,
Baroda Pioneer Dynamic Bond Fund - Direct Plan,4,DT-DB     ,5.02,8.63,,,,
Baroda Pioneer ELSS 96 Fund,2,EQ-TS     ,29.73,17.79,18.15,14.07,13.98,
Baroda Pioneer ELSS 96 Fund - Direct Plan,2,EQ-TS     ,31.23,18.93,,,,
Baroda Pioneer Gilt Fund,2,GL-MLT    ,1.5,6.2,7.8,8.86,7.97,
Baroda Pioneer Gilt Fund - Direct Plan,2,GL-MLT    ,2.35,7.04,,,,
Baroda Pioneer Growth Fund,2,EQ-MLC    ,28.95,17.18,17.58,13.48,,
Baroda Pioneer Growth Fund - Direct Plan,2,EQ-MLC    ,30.26,18.15,,,,
Baroda Pioneer Income Fund,2,DT-INC    ,2.0,6.09,7.45,7.68,6.93,
Baroda Pioneer Income Fund - Direct Plan,3,DT-INC    ,2.66,6.82,,,,
Baroda Pioneer Liquid Fund,4,DT-LIQ    ,6.6,7.18,7.74,,,
Baroda Pioneer Liquid Fund - Direct Plan,5,DT-LIQ    ,6.7,7.29,,,,
Baroda Pioneer Monthly Income Plan Fund,2,HY-DC     ,7.31,7.62,8.68,7.84,,
Baroda Pioneer Monthly Income Plan Fund - Direct Plan,3,HY-DC     ,8.18,8.49,,,,
Baroda Pioneer Short Term Bond Fund,5,DT-ST     ,6.54,8.23,8.58,,,
Baroda Pioneer Short Term Bond Fund - Direct Plan,5,DT-ST     ,7.28,9,,,,
Baroda Pioneer Treasury Advantage Fund,5,DT-UST    ,6.9,8.18,8.62,,,
Baroda Pioneer Treasury Advantage Fund - Direct Plan,5,DT-UST    ,7.21,8.58,,,,
BNP Paribas Corporate Bond Fund,4,DT-INC    ,6.09,8.05,8.48,,,
BNP Paribas Corporate Bond Fund - Direct Plan,5,DT-INC    ,6.65,8.81,,,,
BNP Paribas Dividend Yield Fund,4,EQ-MC     ,33.43,20.55,21.44,18.65,,
BNP Paribas Dividend Yield Fund - Direct Plan,4,EQ-MC     ,35.71,22.47,,,,
BNP Paribas Equity Fund,2,EQ-MLC    ,25.8,14.4,16.82,15.14,,
BNP Paribas Equity Fund - Direct Plan,3,EQ-MLC    ,27.57,15.8,,,,
BNP Paribas Flexi Debt Fund,3,DT-INC    ,2.69,7.17,8.44,8.65,,
BNP Paribas Flexi Debt Fund - Direct Plan,3,DT-INC    ,3.58,8.04,,,,
BNP Paribas Government Securities Fund,4,GL-MLT    ,3.97,8.42,,,,
BNP Paribas Government Securities Fund - Direct Plan,5,GL-MLT    ,4.76,9.21,,,,
BNP Paribas Long Term Equity Fund,3,EQ-TS     ,33.47,16.92,19.34,16.92,,
BNP Paribas Long Term Equity Fund - Direct Plan,3,EQ-TS     ,34.94,17.94,,,,
BNP Paribas Medium Term Income Fund,3,DT-INC    ,4.94,7.13,,,,
BNP Paribas Medium Term Income Fund - Direct Plan,4,DT-INC    ,5.83,7.97,,,,
BNP Paribas Midcap Fund,3,EQ-MC     ,41.07,23.69,27.05,22.9,,
BNP Paribas Midcap Fund - Direct Plan,4,EQ-MC     ,43.4,25.5,,,,
BNP Paribas Money Plus Fund,2,DT-UST    ,6.09,7.08,7.57,8.05,,
BNP Paribas Money Plus Fund - Direct Plan,3,DT-UST    ,6.72,7.76,,,,
BNP Paribas Monthly Income Plan,2,HY-DC     ,9.07,8.82,9.63,8.87,,
BNP Paribas Monthly Income Plan - Direct Plan,4,HY-DC     ,11.7,11.35,,,,
BNP Paribas Overnight Fund,3,DT-LIQ    ,6.54,7.07,7.63,8.08,,
BNP Paribas Overnight Fund - Direct Plan,3,DT-LIQ    ,6.68,7.15,,,,
BNP Paribas Short Term Income Fund,3,DT-ST     ,5.88,7.86,8.34,,,
BNP Paribas Short Term Income Fund - Direct Plan,3,DT-ST     ,5.84,7.73,,,,
BOI AXA Corporate Credit Spectrum Fund - Direct Plan,5,DT-CO     ,8.55,,,,,
BOI AXA Corporate Credit Spectrum Fund - Regular Plan,4,DT-CO     ,8.41,,,,,
BOI AXA Equity Debt Rebalancer Fund - Direct Plan,4,HY-AA     ,9.95,9.14,,,,
BOI AXA Equity Debt Rebalancer Fund - Regular Plan,3,HY-AA     ,9.24,8.52,,,,
BOI AXA Equity Fund - Direct Plan,2,EQ-MLC    ,39.52,20.69,,,,
BOI AXA Equity Fund - Regular Plan,2,EQ-MLC    ,37.84,19.29,17.91,,,
BOI AXA Liquid Fund - Direct Plan,4,DT-LIQ    ,6.73,7.23,,,,
BOI AXA Liquid Fund - Regular Plan,3,DT-LIQ    ,6.63,7.13,7.69,,,
BOI AXA Manufacturing & Infrastructure Fund,3,EQ-INFRA  ,55.58,26.5,23.32,,,
BOI AXA Manufacturing & Infrastructure Fund - Direct Plan,3,EQ-INFRA  ,57.59,28.17,,,,
BOI AXA Regular Return Fund - Direct Plan,4,HY-DC     ,14.24,11.75,,,,
BOI AXA Regular Return Fund - Regular Plan,4,HY-DC     ,13.53,11.12,10.98,,,
BOI AXA Short Term Income Fund - Direct Plan,5,DT-ST     ,6.3,8.8,,,,
BOI AXA Short Term Income Fund - Regular Plan,4,DT-ST     ,5.36,7.81,8.31,,,
BOI AXA Tax Advantage Fund - Direct Plan,4,EQ-TS     ,56.01,26.6,,,,
BOI AXA Tax Advantage Fund - Regular Plan,3,EQ-TS     ,53.75,24.82,22.51,,,
BOI AXA Treasury Advantage Fund - Direct Plan,5,DT-UST    ,7.68,8.6,,,,
BOI AXA Treasury Advantage Fund - Regular Plan,5,DT-UST    ,7.52,8.4,8.68,,,
Canara Robeco Balance Fund - Direct Plan,3,HY-EQ     ,21.31,15.73,,,,
Canara Robeco Balance Fund - Regular Plan,3,HY-EQ     ,19.69,14.41,16.78,15.47,16.73,16.55
Canara Robeco Dynamic Bond Fund - Direct Plan,4,DT-DB     ,2.24,8.03,,,,
Canara Robeco Dynamic Bond Fund - Regular Plan,3,DT-DB     ,1.58,7.34,8.53,,,
Canara Robeco Emerging Equities Fund - Direct Plan,5,EQ-MC     ,42.53,28.34,,,,
Canara Robeco Emerging Equities Fund - Regular Plan,4,EQ-MC     ,40.61,26.85,32.44,26.2,,
Canara Robeco Equity Diversified Fund - Direct Plan,2,EQ-MLC    ,29.84,17.23,,,,
Canara Robeco Equity Diversified Fund - Regular Plan,1,EQ-MLC    ,28.93,16.5,16.21,15.21,,
Canara Robeco Equity Tax Saver Fund - Direct Plan,2,EQ-TS     ,26.93,15.81,,,,
Canara Robeco Equity Tax Saver Fund - Regular Plan,1,EQ-TS     ,25.93,15.03,16.17,15.8,,
Canara Robeco Gilt PGS Fund - Direct Plan,5,GL-MLT    ,1.85,8.92,,,,
Canara Robeco Gilt PGS Fund - Regular Plan,4,GL-MLT    ,1.22,8.27,9.48,8.93,,
Canara Robeco Income Fund - Direct Plan,3,DT-INC    ,3.06,7.56,,,,
Canara Robeco Income Fund - Regular Plan,2,DT-INC    ,2.18,6.71,7.86,8.45,,
Canara Robeco Infrastructure Fund - Direct Plan,4,EQ-INFRA  ,36.09,21.73,,,,
Canara Robeco Infrastructure Fund - Regular Plan,3,EQ-INFRA  ,34.69,20.68,22.59,16.17,,
Canara Robeco Large Cap+ Fund - Direct Plan,3,EQ-LC     ,23.19,15.62,,,,
Canara Robeco Large Cap+ Fund - Regular Plan,3,EQ-LC     ,21.82,14.39,14.66,,,
Canara Robeco Liquid Fund - Direct Plan,2,DT-LIQ    ,6.5,7.02,,,,
Canara Robeco Liquid Fund - Regular Plan,2,DT-LIQ    ,6.47,6.99,7.58,,,
Canara Robeco Medium Term Opportunities Fund - Direct Plan,3,DT-INC    ,5.22,7.64,,,,
Canara Robeco Medium Term Opportunities Fund - Regular Plan,3,DT-INC    ,4.51,6.92,,,,
Canara Robeco Monthly Income Plan - Direct Plan,2,HY-DC     ,7.51,8.44,,,,
Canara Robeco Monthly Income Plan - Regular Plan,1,HY-DC     ,6.27,7.19,8.8,9.3,,
Canara Robeco Savings Plus Fund - Direct Plan,3,DT-UST    ,6.57,7.65,,,,
Canara Robeco Savings Plus Fund - Regular Plan,3,DT-UST    ,6.36,7.45,7.95,8.28,,
Canara Robeco Short Term Fund - Direct Plan,3,DT-ST     ,5.72,7.11,,,,
Canara Robeco Short Term Fund - Regular Plan,2,DT-ST     ,5.2,6.59,7.32,,,
Canara Robeco Treasury Advantage Fund - Direct Plan,3,DT-UST    ,6.34,7.2,,,,
Canara Robeco Treasury Advantage Fund - Regular Plan,1,DT-UST    ,5.6,6.47,7.31,,,
Canara Robeco Yield Advantage Fund - Direct Plan,3,HY-DC     ,6.41,8.28,,,,
Canara Robeco Yield Advantage Fund - Regular Plan,3,HY-DC     ,5.59,7.45,7.39,,,
DHFL Pramerica Arbitrage Fund - Direct Plan,4,HY-AR     ,6.56,6.8,,,,
DHFL Pramerica Arbitrage Fund - Regular Plan,3,HY-AR     ,5.95,6.2,,,,
DHFL Pramerica Banking & PSU Debt Fund,3,DT-INC    ,4.82,7.11,,,,
DHFL Pramerica Banking & PSU Debt Fund - Direct Plan,4,DT-INC    ,5.36,7.63,,,,
DHFL Pramerica Credit Opportunities Fund - Direct Plan,4,DT-CO     ,7.75,9.69,,,,
DHFL Pramerica Credit Opportunities Fund - Regular Plan,3,DT-CO     ,6.54,8.51,,,,
DHFL Pramerica Dynamic Bond Fund,4,DT-DB     ,3.11,7.8,8.66,,,
DHFL Pramerica Dynamic Bond Fund - Direct Plan,5,DT-DB     ,4.44,9.16,,,,
DHFL Pramerica Gilt Fund,3,GL-MLT    ,3.49,7.32,8.38,,,
DHFL Pramerica Gilt Fund - Direct Plan,4,GL-MLT    ,3.77,7.59,,,,
DHFL Pramerica Income Advantage Fund,1,HY-DA     ,8.3,8.47,8.17,7.54,,
DHFL Pramerica Income Advantage Fund - Direct Plan,2,HY-DA     ,10.38,9.91,,,,
DHFL Pramerica Inflation Indexed Bond Fund - Direct Plan,3,DT-INC    ,4.66,9.29,,,,
DHFL Pramerica Inflation Indexed Bond Fund - Regular Plan,2,DT-INC    ,3.77,8.41,,,,
DHFL Pramerica Insta Cash Plus Fund,3,DT-LIQ    ,6.62,7.17,7.72,8.06,,
DHFL Pramerica Insta Cash Plus Fund - Direct Plan,4,DT-LIQ    ,6.68,7.22,,,,
DHFL Pramerica Large Cap Fund,3,EQ-LC     ,20.01,13.67,15.62,12.99,,
DHFL Pramerica Large Cap Fund - Direct Plan,4,EQ-LC     ,22.1,15.44,,,,
DHFL Pramerica Low Duration Fund,4,DT-UST    ,6.58,7.94,8.47,8.53,,
DHFL Pramerica Low Duration Fund - Direct Plan,5,DT-UST    ,7.16,8.56,,,,
DHFL Pramerica Medium Term Income Fund - Direct Plan,5,DT-INC    ,5.54,8.86,,,,
DHFL Pramerica Medium Term Income Fund - Regular Plan,4,DT-INC    ,4.7,8.04,,,,
DHFL Pramerica Midcap Opportunities Fund - Direct Plan,2,EQ-MC     ,29.29,17.71,,,,
DHFL Pramerica Midcap Opportunities Fund - Regular Plan,1,EQ-MC     ,27.49,16.58,,,,
DHFL Pramerica Premier Bond Fund,3,DT-INC    ,3.75,6.32,7.03,7.47,,
DHFL Pramerica Premier Bond Fund - Direct Plan,3,DT-INC    ,5.03,7.42,,,,
DHFL Pramerica Short Maturity Fund,4,DT-ST     ,5.94,7.99,8.56,8.71,,
DHFL Pramerica Short Maturity Fund - Direct Plan,5,DT-ST     ,6.79,8.9,,,,
DHFL Pramerica Short Term Floating Rate Fund,2,DT-UST    ,6.27,7.41,7.89,,,
DHFL Pramerica Short Term Floating Rate Fund - Direct Plan,3,DT-UST    ,6.52,7.64,,,,
DHFL Pramerica Tax Plan,3,EQ-TS     ,29.46,19.15,19.45,14.58,,
DHFL Pramerica Tax Plan - Direct Plan,4,EQ-TS     ,31.86,20.95,,,,
DHFL Pramerica Ultra Short Term Fund,3,DT-UST    ,6.58,7.55,8.21,,,
DHFL Pramerica Ultra Short Term Fund - Direct Plan,4,DT-UST    ,6.82,7.8,,,,
DSP BlackRock Balanced Fund,3,HY-EQ     ,22.71,16.77,18.35,14.87,16.19,
DSP BlackRock Balanced Fund - Direct Plan,3,HY-EQ     ,24.23,18,,,,
DSP BlackRock Banking & PSU Debt Fund - Direct Plan,2,DT-ST     ,5.08,7.83,,,,
DSP BlackRock Banking & PSU Debt Fund - Regular Plan,1,DT-ST     ,4.82,7.49,,,,
DSP BlackRock Bond Fund - Direct Plan,3,DT-INC    ,5.78,8.29,,,,
DSP BlackRock Bond Fund - Retail Plan,3,DT-INC    ,5.3,7.67,8.42,7.94,7.28,7.56
DSP BlackRock Constant Maturity 10Y G-Sec Fund - Direct Plan,3,GL-MLT    ,0.85,7.53,,,,
DSP BlackRock Constant Maturity 10Y G-Sec Fund - Regular Plan,3,GL-MLT    ,0.59,7.26,,,,
DSP BlackRock Dynamic Asset Allocation Fund - Direct Plan,3,HY-AA     ,9.45,10.2,,,,
DSP BlackRock Dynamic Asset Allocation Fund - Regular Plan,2,HY-AA     ,8.37,9.25,,,,
DSP BlackRock Equity Fund,2,EQ-MLC    ,32.82,20.1,20.37,16.35,19.88,20.81
DSP BlackRock Equity Fund - Direct Plan,2,EQ-MLC    ,33.82,20.92,,,,
DSP BlackRock Focus 25 Fund,4,EQ-LC     ,21.15,14.92,17.83,,,
DSP BlackRock Focus 25 Fund - Direct Plan,4,EQ-LC     ,22.16,15.77,,,,
DSP BlackRock Government Securities Fund,3,GL-MLT    ,-0.23,6.59,7.89,7.63,7.61,
DSP BlackRock Government Securities Fund - Direct Plan,3,GL-MLT    ,0.61,7.19,,,,
DSP BlackRock Income Opportunities Fund,2,DT-CO     ,5.57,8.13,8.91,8.65,,
DSP BlackRock Income Opportunities Fund - Direct Plan,3,DT-CO     ,6.21,8.79,,,,
DSP BlackRock Liquidity Fund - Direct Plan,4,DT-LIQ    ,6.69,7.2,,,,
DSP BlackRock Liquidity Fund - Regular Plan,3,DT-LIQ    ,6.55,7.08,7.65,7.97,,
DSP BlackRock Micro Cap Fund - Direct Plan,4,EQ-SC     ,40.98,29.05,,,,
DSP BlackRock Micro Cap Fund - Regular Plan,3,EQ-SC     ,40.43,28.34,36.05,27.99,,
DSP BlackRock Money Manager Fund - Direct Plan,3,DT-UST    ,6.71,7.47,,,,
DSP BlackRock Money Manager Fund - Regular Plan,2,DT-UST    ,5.91,6.72,7.35,7.66,,
DSP BlackRock Monthly Income Plan,2,HY-DA     ,9.81,9.96,10.43,9.95,,
DSP BlackRock Monthly Income Plan - Direct Plan,3,HY-DA     ,10.66,10.76,,,,
DSP BlackRock Opportunities Fund,4,EQ-MLC    ,34.55,23.72,23.4,18.2,19.53,
DSP BlackRock Opportunities Fund - Direct Plan,5,EQ-MLC    ,36.14,24.96,,,,
DSP BlackRock Short Term Fund,1,DT-ST     ,4.94,6.98,7.85,8.06,7.67,
DSP BlackRock Short Term Fund - Direct Plan,3,DT-ST     ,5.75,7.87,,,,
DSP BlackRock Small and Mid Cap Fund - Direct Plan,3,EQ-MC     ,31.9,24.97,,,,
DSP BlackRock Small and Mid Cap Fund - Regular Plan,3,EQ-MC     ,30.74,23.98,27.65,22.41,,
DSP BlackRock Strategic Bond Fund - Direct Plan,2,DT-DB     ,1.22,6.45,,,,
DSP BlackRock Strategic Bond Fund - Regular Plan,2,DT-DB     ,0.87,6.08,7.79,,,
DSP BlackRock T.I.G.E.R. Fund - Direct Plan,3,EQ-INFRA  ,41.11,24.25,,,,
DSP BlackRock T.I.G.E.R. Fund - Regular Plan,3,EQ-INFRA  ,40.22,23.57,23.19,15.31,,
DSP BlackRock Tax Saver Fund,4,EQ-TS     ,29.78,21.49,22.68,18.64,,
DSP BlackRock Tax Saver Fund - Direct Plan,4,EQ-TS     ,31.43,22.71,,,,
DSP BlackRock Top 100 Equity Fund - Direct Plan,3,EQ-LC     ,19.44,14.22,,,,
DSP BlackRock Top 100 Equity Fund - Regular Plan,3,EQ-LC     ,18.59,13.45,14.15,12.82,,
DSP BlackRock Treasury Bill Fund,2,GL-ST     ,5.73,6.24,6.89,7.05,6.59,
DSP BlackRock Treasury Bill Fund - Direct Plan,3,GL-ST     ,5.99,6.5,,,,
DSP BlackRock Ultra Short Term Fund - Direct Plan,3,DT-UST    ,6.56,,,,,
DSP BlackRock Ultra Short Term Fund - Regular Plan,3,DT-UST    ,6.19,,,,,
Edelweiss Arbitrage Fund - Direct Plan,5,HY-AR     ,6.67,6.97,,,,
